name,bookings,rating,reviews,price,cuisine,location
Five Mile Stone,3,4.4,149,2,American,Upper East Side
The Grand Tier Restaurant,NA,4.8,3560,4,American,Lincoln Square
Lincoln Ristorante,NA,3.7,5588,4,Italian,Upper West Side
Avos Grill,NA,4.2,10,3,Mediterranean,Cliffside Park
Dulce Vida Latin Bistro,NA,4.6,102,3,Latin American,Upper East Side
Red Lobster - New York - 125th St.,NA,3.9,8,2,Seafood,Harlem
Greek Taverna - Edgewater,NA,4.1,152,3,Greek,Edgewater
Gigi & Mario,NA,NA,NA,2,Pizza Bar,Cliffside Park
Baumgart's Café - Edgewater,NA,NA,NA,2,American,North Bergen
The Original Pancake House,NA,NA,NA,2,American,Edgewater
Pa De Thai Restaurant,NA,NA,NA,2,Thai,Edgewater
Sabor Latin Bistro,NA,4.3,241,3,Latin American,North Bergen
Porto By Antonio,NA,NA,NA,3,Italian,North Bergen
Viva Margartia - Edgewater,NA,NA,NA,2,Mexican,Cliffside Park
Toast,NA,NA,NA,2,American,Edgewater
Mangia,NA,NA,NA,4,American,Edgewater
Cascabel Taqueria,NA,NA,NA,2,Mexican,Edgewater
Outback Steakhouse - Edgewater,NA,NA,NA,2,Steak,Edgewater
Westway Metkal Cafe,NA,NA,NA,2,American,Edgewater
Abbey Restaurant,NA,NA,NA,2,American,Edgewater
The Manchester Diner,NA,NA,NA,2,American,Edgewater
Joe's Crab Shack - Edgewater,NA,4.0,70,2,Seafood,Edgewater
Casa Mexicana,NA,NA,NA,3,Mexican,Edgewater
Yasha Ramen,NA,NA,NA,3,American,Edgewater
Deranda Cafe,NA,NA,NA,2,American,Edgewater
Bareburger - Columbus Avenue,NA,3.0,1,2,Burgers,Upper West Side
Medina's Shake & Cake,NA,NA,NA,2,American,Cliffside Park
The Wild Rover Pub,NA,NA,NA,2,Grill,Weehawken
Karen Zyx1 Sharon Restaurant Inc,NA,NA,NA,2,American,Cliffside Park
Tum & Yum,NA,NA,NA,2,Asian,Harlem
Mighty Catch - Upper West Side,NA,NA,NA,2,Seafood,Upper West Side
MIMI,NA,3.7,7,2,Japanese,Upper West Side
The Parlour - UWS,NA,NA,NA,2,Gastro Pub,Upper West Side
Gabriela's,NA,3.7,424,2,Mexican,Upper West Side
El Caporal Mexican Food,NA,NA,NA,2,Mexican,Cliffside Park
Daniellos Pizzeria Incorporated,NA,NA,NA,2,Italian,Upper West Side
Chirping Chicken,NA,NA,NA,2,Grill,Upper West Side
Harry's Food & Drink,NA,NA,NA,2,American,North Bergen
o2 BBQ,NA,NA,NA,2,Korean,Jersey City
It's Greek To Me - Cliffside Park,NA,NA,NA,3,Greek,Cliffside Park
Indian Tampura,NA,NA,NA,2,Indian,Upper West Side
GP?s Restaurant,NA,NA,NA,3,Italian,West New York
Mac Shack,NA,NA,NA,3,Italian,West New York
Cafe On Broadway,NA,NA,NA,2,American,Upper West Side
Lotus Restaurant,NA,NA,NA,2,Chinese,Weehawken
Amelie - UWS,NA,NA,NA,2,Wine Bar,Upper West Side
Mama's Pizza,NA,NA,NA,2,Italian,Upper West Side
Kirsh Bakery and Kitchen,NA,4.3,19,2,American,Upper West Side
